id;"reportingAuthor";"type";year;"language"
527;"Leifeld, Philip";"Artikel";2013;"en"
528;"Leifeld, Philip";"Artikel";2013;"en"
529;"Leifeld, Philip";"Artikel";2013;"en"
530;"Leifeld, Philip";"Artikel";2013;"en"
531;"Leifeld, Philip";"Artikel";2012;"en"
532;"Leifeld, Philip";"Artikel";2012;"en"
533;"Leifeld, Philip";"Monographie";2009;"de"
534;"Leifeld, Philip";"Buchkapitel";2013;"en"
535;"Leifeld, Philip";"Buchkapitel";2009;"de"
536;"Leifeld, Philip";"Buchkapitel";2009;"de"
537;"Leifeld, Philip";"Buchkapitel";2009;"de"
538;"Leifeld, Philip";"Buchkapitel";2009;"de"
539;"Leifeld, Philip";"Buchkapitel";2009;"de"
2803;"Seibel, Wolfgang";"Buchkapitel";2009;"de"
10380;"Kortmann, Matthias";"Artikel";2013;"en"
12440;"Kranenpohl, Uwe";"Monographie";2010;"de"
34079;"Semenova, Elena";"Sammelband";2013;"en"
35120;"Steuwer, Sibyl";"Monographie";2013;"en"
36024;"Demmelhuber, Thomas";"Artikel";2009;"en"
2670;"Seibel, Wolfgang";"Monographie";2010;"de"
2708;"Seibel, Wolfgang";"Sammelband";2011;"de"
2723;"Seibel, Wolfgang";"Artikel";2013;"de"
2724;"Seibel, Wolfgang";"Artikel";2013;"de"
2726;"Seibel, Wolfgang";"Artikel";2010;"en"
2727;"Seibel, Wolfgang";"Sonstiges";2010;"de"
2728;"Seibel, Wolfgang";"Artikel";2010;"de"
2729;"Seibel, Wolfgang";"Artikel";2010;"de"
2731;"Seibel, Wolfgang";"Artikel";2009;"de"
37350;"Abdolvand, Behrooz";"Artikel";2013;"de"
37780;"Kaminska, Monika";"Buchkapitel";2013;"en"
2792;"Seibel, Wolfgang";"Buchkapitel";2013;"en"
2793;"Seibel, Wolfgang";"Buchkapitel";2012;"de"
2794;"Seibel, Wolfgang";"Buchkapitel";2012;"en"
2795;"Seibel, Wolfgang";"Buchkapitel";2011;"de"
2796;"Seibel, Wolfgang";"Buchkapitel";2011;"de"
2797;"Seibel, Wolfgang";"Buchkapitel";2011;"de"
2800;"Seibel, Wolfgang";"Buchkapitel";2011;"en"
2801;"Seibel, Wolfgang";"Buchkapitel";2009;"de"
2802;"Seibel, Wolfgang";"Buchkapitel";2009;"de"
2863;"Laubenthal, Barbara";"Monographie";2012;"en"
2864;"Laubenthal, Barbara";"Buchkapitel";2012;"de"
2865;"Laubenthal, Barbara";"Sonstiges";2011;"en"
38685;"Teune, Simon";"Buchkapitel";2013;"de"
2867;"Laubenthal, Barbara";"Artikel";2011;"en"
2868;"Laubenthal, Barbara";"Buchkapitel";2010;"en"
2869;"Laubenthal, Barbara";"Artikel";2009;"fr"
2870;"Laubenthal, Barbara";"Sonstiges";2009;"en"
2883;"Weiffen, Brigitte";"Artikel";2012;"de"
2881;"Weiffen, Brigitte";"Sammelband";2011;"de"
2882;"Weiffen, Brigitte";"Monographie";2009;"de"
2884;"Weiffen, Brigitte";"Artikel";2012;"en"
2885;"Weiffen, Brigitte";"Artikel";2012;"en"
2886;"Weiffen, Brigitte";"Artikel";2011;"en"
39035;"Geden, Oliver";"Buchkapitel";2009;"de"
2891;"Weiffen, Brigitte";"Artikel";2010;"en"
2897;"Weiffen, Brigitte";"Buchkapitel";2012;"en"
2898;"Weiffen, Brigitte";"Buchkapitel";2012;"de"
2899;"Weiffen, Brigitte";"Buchkapitel";2012;"en"
2900;"Weiffen, Brigitte";"Buchkapitel";2012;"de"
2901;"Weiffen, Brigitte";"Buchkapitel";2011;"de"
2902;"Weiffen, Brigitte";"Buchkapitel";2011;"de"
2903;"Weiffen, Brigitte";"Buchkapitel";2010;"de"
2904;"Weiffen, Brigitte";"Buchkapitel";2010;"de"
2905;"Weiffen, Brigitte";"Buchkapitel";2009;"en"
2906;"Weiffen, Brigitte";"Buchkapitel";2009;"en"
2907;"Weiffen, Brigitte";"Buchkapitel";2009;"de"
2912;"Wolf, Sebastian";"Artikel";2013;"de"
2913;"Wolf, Sebastian";"Sonstiges";2013;"de"
2914;"Wolf, Sebastian";"Sonstiges";2013;"de"
2915;"Wolf, Sebastian";"Artikel";2013;"de"
39654;"Paul, Michael";"Sonstiges";2010;"en"
2917;"Wolf, Sebastian";"Sonstiges";2013;"de"
2918;"Wolf, Sebastian";"Artikel";2012;"de"
2919;"Wolf, Sebastian";"Sonstiges";2012;"de"
2920;"Wolf, Sebastian";"Artikel";2012;"de"
2921;"Wolf, Sebastian";"Artikel";2012;"de"
2922;"Wolf, Sebastian";"Buchkapitel";2012;"de"
2923;"Wolf, Sebastian";"Buchkapitel";2012;"en"
2924;"Wolf, Sebastian";"Sonstiges";2012;"de"
2925;"Wolf, Sebastian";"Sonstiges";2012;"de"
2926;"Wolf, Sebastian";"Artikel";2011;"en"
2927;"Wolf, Sebastian";"Artikel";2011;"de"
2928;"Wolf, Sebastian";"Artikel";2011;"en"
2929;"Wolf, Sebastian";"Buchkapitel";2011;"de"
2930;"Wolf, Sebastian";"Buchkapitel";2011;"de"
2931;"Wolf, Sebastian";"Artikel";2011;"de"
2932;"Wolf, Sebastian";"Artikel";2011;"de"
2933;"Wolf, Sebastian";"Sammelband";2010;"en"
2934;"Wolf, Sebastian";"Artikel";2010;"de"
2940;"Wolf, Sebastian";"Artikel";2010;"en"
2941;"Wolf, Sebastian";"Sonstiges";2009;"en"
2942;"Wolf, Sebastian";"Buchkapitel";2009;"de"
2943;"Wolf, Sebastian";"Artikel";2009;"de"
2944;"Wolf, Sebastian";"Buchkapitel";2009;"de"
2945;"Wolf, Sebastian";"Buchkapitel";2009;"en"
2946;"Wolf, Sebastian";"Artikel";2009;"de"
2947;"Wolf, Sebastian";"Sonstiges";2009;"de"
2948;"Wolf, Sebastian";"Sammelband";2009;"de"
2949;"Wolf, Sebastian";"Buchkapitel";2009;"de"
2950;"Wolf, Sebastian";"Buchkapitel";2009;"de"
2989;"Schneider, Gerald";"Monographie";2011;"en"
2990;"Schneider, Gerald";"Monographie";2011;"en"
2991;"Schneider, Gerald";"Monographie";2012;"en"
2992;"Schneider, Gerald";"Monographie";2010;"en"
2993;"Schneider, Gerald";"Monographie";2009;"de"
2994;"Schneider, Gerald";"Monographie";2009;"de"
41985;"Rhomberg, Markus";"Artikel";2012;"en"
3008;"Schneider, Gerald";"Artikel";2012;"en"
3009;"Schneider, Gerald";"Artikel";2012;"en"
3010;"Schneider, Gerald";"Artikel";2012;"de"
3011;"Schneider, Gerald";"Artikel";2012;"en"
3012;"Schneider, Gerald";"Artikel";2012;"de"
3013;"Schneider, Gerald";"Artikel";2011;"en"
3014;"Schneider, Gerald";"Buchkapitel";2011;"en"
3015;"Schneider, Gerald";"Artikel";2011;"en"
3016;"Schneider, Gerald";"Buchkapitel";2011;"en"
3017;"Schneider, Gerald";"Artikel";2011;"de"
3018;"Schneider, Gerald";"Buchkapitel";2011;"de"
3019;"Schneider, Gerald";"Buchkapitel";2011;"en"
3020;"Schneider, Gerald";"Sonstiges";2011;"en"
3021;"Schneider, Gerald";"Artikel";2010;"en"
3022;"Schneider, Gerald";"Artikel";2010;"en"
3023;"Schneider, Gerald";"Buchkapitel";2010;"en"
3024;"Schneider, Gerald";"Artikel";2010;"de"
3025;"Schneider, Gerald";"Artikel";2010;"en"
3026;"Schneider, Gerald";"Artikel";2010;"en"
3027;"Schneider, Gerald";"Artikel";2010;"en"
3028;"Schneider, Gerald";"Artikel";2010;"en"
3029;"Schneider, Gerald";"Artikel";2010;"en"
3030;"Schneider, Gerald";"Artikel";2010;"en"
3031;"Schneider, Gerald";"Buchkapitel";2010;"en"
3032;"Schneider, Gerald";"Buchkapitel";2010;"de"
3033;"Schneider, Gerald";"Artikel";2009;"en"
3034;"Schneider, Gerald";"Artikel";2009;"de"
3035;"Schneider, Gerald";"Artikel";2009;"de"
3036;"Schneider, Gerald";"Buchkapitel";2009;"de"
3037;"Schneider, Gerald";"Buchkapitel";2009;"de"
3038;"Schneider, Gerald";"Buchkapitel";2009;"fr"
3039;"Schneider, Gerald";"Sonstiges";2009;"de"
3461;"Schneider, Gerald";"Buchkapitel";2009;"fr"
3462;"Schneider, Gerald";"Buchkapitel";2012;"en"
3505;"Grimm, Sonja";"Artikel";2013;"en"
3506;"Grimm, Sonja";"Artikel";2012;"en"
3507;"Grimm, Sonja";"Artikel";2010;"de"
3511;"Grimm, Sonja";"Monographie";2010;"de"
3512;"Grimm, Sonja";"Sammelband";2013;"en"
3513;"Grimm, Sonja";"Artikel";2012;"en"
3516;"Grimm, Sonja";"Buchkapitel";2013;"de"
3517;"Grimm, Sonja";"Buchkapitel";2012;"de"
3518;"Grimm, Sonja";"Buchkapitel";2012;"en"
3519;"Grimm, Sonja";"Buchkapitel";2011;"en"
3520;"Grimm, Sonja";"Buchkapitel";2009;"de"
3521;"Grimm, Sonja";"Buchkapitel";2009;"de"
3523;"Grimm, Sonja";"Sonstiges";2011;"en"
3526;"Grimm, Sonja";"Artikel";2013;"en"
3527;"Grimm, Sonja";"Artikel";2012;"de"
3528;"Grimm, Sonja";"Artikel";2011;"de"
3529;"Grimm, Sonja";"Sonstiges";2009;"de"
3537;"Wegenast, Tim";"Artikel";2013;"en"
3538;"Wegenast, Tim";"Artikel";2011;"en"
3539;"Wegenast, Tim";"Artikel";2010;"en"
3540;"Wegenast, Tim";"Artikel";2010;"en"
3541;"Wegenast, Tim";"Artikel";2009;"en"
3542;"Wegenast, Tim";"Artikel";2009;"en"
3543;"Wegenast, Tim";"Artikel";2013;"en"
3544;"Wegenast, Tim";"Buchkapitel";2010;"it"
3545;"Wegenast, Tim";"Sonstiges";2013;"en"
3546;"Wegenast, Tim";"Sonstiges";2011;"en"
3547;"Wegenast, Tim";"Sonstiges";2011;"en"
4501;"Lang, Achim";"Artikel";2011;"en"
3580;"Holzinger, Katharina";"Monographie";2010;"de"
3586;"Holzinger, Katharina";"Sammelband";2013;"de"
3592;"Holzinger, Katharina";"Artikel";2013;"en"
3593;"Holzinger, Katharina";"Artikel";2012;"de"
3594;"Holzinger, Katharina";"Artikel";2012;"en"
3595;"Holzinger, Katharina";"Artikel";2011;"en"
3596;"Holzinger, Katharina";"Artikel";2011;"en"
3597;"Holzinger, Katharina";"Artikel";2011;"en"
3598;"Holzinger, Katharina";"Artikel";2011;"en"
3599;"Holzinger, Katharina";"Artikel";2010;"en"
3600;"Holzinger, Katharina";"Artikel";2010;"de"
3601;"Holzinger, Katharina";"Artikel";2009;"de"
3602;"Holzinger, Katharina";"Artikel";2009;"de"
3603;"Holzinger, Katharina";"Artikel";2009;"en"
3633;"Holzinger, Katharina";"Buchkapitel";2012;"en"
3634;"Holzinger, Katharina";"Buchkapitel";2011;"en"
3635;"Holzinger, Katharina";"Buchkapitel";2009;"de"
3636;"Holzinger, Katharina";"Buchkapitel";2009;"en"
3669;"van der Haer, Roos";"Buchkapitel";2010;"en"
3670;"van der Haer, Roos";"Artikel";2011;"en"
3671;"van der Haer, Roos";"Artikel";2011;"en"
3672;"van der Haer, Roos";"Artikel";2011;"en"
3673;"van der Haer, Roos";"Artikel";2011;"en"
3674;"van der Haer, Roos";"Artikel";2012;"en"
3675;"van der Haer, Roos";"Artikel";2012;"en"
3676;"van der Haer, Roos";"Artikel";2013;"en"
3677;"van der Haer, Roos";"Artikel";2013;"en"
3678;"van der Haer, Roos";"Sonstiges";2013;"en"
3679;"van der Haer, Roos";"Artikel";2013;"en"
3680;"van der Haer, Roos";"Artikel";2013;"en"
3850;"Malang, Thomas";"Buchkapitel";2009;"de"
3851;"Malang, Thomas";"Buchkapitel";2009;"de"
3852;"Malang, Thomas";"Monographie";2012;"en"
3853;"Malang, Thomas";"Buchkapitel";2013;"en"
3867;"Osei, Anja";"Monographie";2012;"en"
3876;"Osei, Anja";"Sonstiges";2009;"en"
3877;"Osei, Anja";"Sonstiges";2011;"de"
3878;"Osei, Anja";"Sonstiges";2011;"en"
3879;"Boerner, Sabine";"Monographie";2012;"de"
3882;"Boerner, Sabine";"Artikel";2013;"en"
3883;"Boerner, Sabine";"Artikel";2013;"de"
3884;"Boerner, Sabine";"Artikel";2013;"en"
3885;"Boerner, Sabine";"Artikel";2012;"de"
3886;"Boerner, Sabine";"Artikel";2012;"en"
3887;"Boerner, Sabine";"Artikel";2012;"en"
3888;"Boerner, Sabine";"Artikel";2012;"de"
3889;"Boerner, Sabine";"Artikel";2012;"de"
3890;"Boerner, Sabine";"Artikel";2011;"en"
3891;"Boerner, Sabine";"Artikel";2011;"en"
3892;"Boerner, Sabine";"Artikel";2011;"de"
3893;"Boerner, Sabine";"Artikel";2011;"en"
3894;"Boerner, Sabine";"Artikel";2011;"en"
3895;"Boerner, Sabine";"Artikel";2011;"en"
3896;"Boerner, Sabine";"Artikel";2011;"en"
3897;"Boerner, Sabine";"Artikel";2011;"en"
4498;"Lang, Achim";"Sammelband";2012;"en"
3938;"Kraus, Peter";"Buchkapitel";2011;"de"
3937;"Kraus, Peter";"Monographie";2012;"en"
3936;"Kraus, Peter";"Sammelband";2012;"en"
3939;"Kraus, Peter";"Buchkapitel";2012;"de"
3940;"Kraus, Peter";"Buchkapitel";2012;"en"
3941;"Kraus, Peter";"Buchkapitel";2012;"en"
3942;"Kraus, Peter";"Buchkapitel";2012;"en"
3947;"Kraus, Peter";"Monographie";2010;"en"
3948;"Kraus, Peter";"Artikel";2012;"en"
3949;"Kraus, Peter";"Artikel";2011;"en"
3950;"Kraus, Peter";"Artikel";2011;"en"
3951;"Kraus, Peter";"Buchkapitel";2011;"de"
3952;"Kraus, Peter";"Buchkapitel";2011;"en"
3953;"Kraus, Peter";"Buchkapitel";2011;"de"
3954;"Kraus, Peter";"Buchkapitel";2011;"en"
3955;"Kraus, Peter";"Artikel";2009;"en"
3984;"Kraus, Peter";"Sonstiges";2010;"en"
3995;"Grasnick, Jan";"Sammelband";2012;"de"
3996;"Grasnick, Jan";"Buchkapitel";2012;"de"
3997;"Grasnick, Jan";"Artikel";2009;"de"
4002;"Llanque, Marcus";"Monographie";2012;"de"
4003;"Llanque, Marcus";"Monographie";2013;"de"
4009;"Llanque, Marcus";"Sammelband";2010;"de"
4010;"Llanque, Marcus";"Sammelband";2013;"de"
4011;"Llanque, Marcus";"Sonstiges";2013;"de"
4025;"Llanque, Marcus";"Buchkapitel";2010;"de"
4026;"Llanque, Marcus";"Buchkapitel";2011;"de"
4027;"Llanque, Marcus";"Buchkapitel";2011;"fi"
4028;"Llanque, Marcus";"Buchkapitel";2011;"it"
4029;"Llanque, Marcus";"Buchkapitel";2012;"de"
4030;"Llanque, Marcus";"Buchkapitel";2012;"de"
4079;"Llanque, Marcus";"Buchkapitel";2009;"de"
4080;"Llanque, Marcus";"Buchkapitel";2009;"de"
4081;"Llanque, Marcus";"Artikel";2009;"de"
4082;"Llanque, Marcus";"Buchkapitel";2009;"de"
4083;"Llanque, Marcus";"Buchkapitel";2010;"de"
4084;"Llanque, Marcus";"Buchkapitel";2010;"de"
4085;"Llanque, Marcus";"Buchkapitel";2010;"en"
4086;"Llanque, Marcus";"Buchkapitel";2011;"de"
4087;"Llanque, Marcus";"Buchkapitel";2011;"de"
4088;"Llanque, Marcus";"Buchkapitel";2011;"de"
4089;"Llanque, Marcus";"Buchkapitel";2011;"de"
4090;"Llanque, Marcus";"Buchkapitel";2011;"de"
4091;"Llanque, Marcus";"Buchkapitel";2011;"de"
4092;"Llanque, Marcus";"Buchkapitel";2012;"de"
4093;"Llanque, Marcus";"Buchkapitel";2012;"en"
4095;"Höntzsch, Frauke";"Monographie";2010;"de"
4096;"Höntzsch, Frauke";"Sammelband";2011;"de"
4097;"Höntzsch, Frauke";"Buchkapitel";2010;"de"
4098;"Höntzsch, Frauke";"Artikel";2011;"de"
4099;"Höntzsch, Frauke";"Buchkapitel";2011;"de"
4100;"Höntzsch, Frauke";"Buchkapitel";2012;"de"
4101;"Höntzsch, Frauke";"Buchkapitel";2012;"de"
4102;"Höntzsch, Frauke";"Buchkapitel";2013;"de"
4103;"Höntzsch, Frauke";"Buchkapitel";2013;"it"
4104;"Höntzsch, Frauke";"Buchkapitel";2013;"de"
4105;"Bevc, Tobias";"Artikel";2012;"de"
4106;"Bevc, Tobias";"Artikel";2012;"en"
4107;"Bevc, Tobias";"Buchkapitel";2012;"de"
4108;"Bevc, Tobias";"Buchkapitel";2012;"de"
4109;"Bevc, Tobias";"Buchkapitel";2010;"en"
4110;"Bevc, Tobias";"Buchkapitel";2009;"de"
4111;"Bevc, Tobias";"Buchkapitel";2009;"de"
4112;"Bevc, Tobias";"Buchkapitel";2009;"de"
4113;"Bevc, Tobias";"Buchkapitel";2009;"de"
4123;"Bevc, Tobias";"Monographie";2012;"de"
4126;"Bevc, Tobias";"Sammelband";2012;"de"
4127;"Bevc, Tobias";"Sammelband";2009;"de"
4129;"Bevc, Tobias";"Sonstiges";2011;"de"
4130;"Bevc, Tobias";"Sonstiges";2009;"de"
4141;"Philipp, Michael";"Buchkapitel";2013;"de"
4142;"Philipp, Michael";"Buchkapitel";2013;"de"
4173;"Mühleisen, Hans-Otto";"Sonstiges";2011;"de"
4224;"Mühleisen, Hans-Otto";"Buchkapitel";2009;"de"
4225;"Mühleisen, Hans-Otto";"Monographie";2009;"de"
4226;"Mühleisen, Hans-Otto";"Buchkapitel";2009;"de"
4227;"Mühleisen, Hans-Otto";"Buchkapitel";2010;"de"
4228;"Mühleisen, Hans-Otto";"Sonstiges";2011;"de"
4229;"Mühleisen, Hans-Otto";"Buchkapitel";2012;"de"
4230;"Mühleisen, Hans-Otto";"Monographie";2012;"de"
4231;"Mühleisen, Hans-Otto";"Buchkapitel";2012;"de"
4232;"Mühleisen, Hans-Otto";"Buchkapitel";2012;"de"
4233;"Weller, Christoph";"Buchkapitel";2013;"de"
4234;"Weller, Christoph";"Buchkapitel";2013;"de"
4235;"Weller, Christoph";"Sonstiges";2011;"de"
4236;"Weller, Christoph";"Buchkapitel";2011;"de"
4237;"Weller, Christoph";"Artikel";2010;"en"
4259;"Boerner, Sabine";"Artikel";2010;"en"
4260;"Boerner, Sabine";"Sonstiges";2010;"en"
4261;"Boerner, Sabine";"Artikel";2010;"en"
4263;"Boerner, Sabine";"Artikel";2010;"en"
4265;"Boerner, Sabine";"Artikel";2009;"de"
4266;"Boerner, Sabine";"Artikel";2009;"en"
4267;"Boerner, Sabine";"Artikel";2009;"de"
4306;"Boerner, Sabine";"Buchkapitel";2012;"de"
4307;"Boerner, Sabine";"Buchkapitel";2012;"de"
4308;"Boerner, Sabine";"Buchkapitel";2009;"de"
4328;"Boerner, Sabine";"Sonstiges";2011;"de"
4363;"Schneider, Volker";"Sammelband";2012;"en"
4364;"Schneider, Volker";"Sammelband";2009;"de"
4371;"Schneider, Volker";"Artikel";2012;"en"
4372;"Schneider, Volker";"Artikel";2011;"de"
4399;"Schneider, Volker";"Buchkapitel";2011;"de"
4400;"Schneider, Volker";"Buchkapitel";2009;"de"
4502;"Lang, Achim";"Artikel";2011;"en"
4503;"Lang, Achim";"Artikel";2011;"de"
4504;"Lang, Achim";"Artikel";2011;"de"
4505;"Lang, Achim";"Artikel";2009;"es"
4506;"Lang, Achim";"Buchkapitel";2012;"en"
