id;name;latitude;longitude
14;inst_konstanz;47.689;9.18707
15;inst_freiburg;47.993766;7.845962
16;inst_tuebingen;48.52972;9.043763
17;inst_stuttgart;48.782237;9.174209
18;inst_hohenheim;48.712275;9.21407
19;inst_heidelberg;49.419356;8.670238
20;inst_mannheim;49.483906;8.462276
21;inst_karlsruhe;49.012117;8.41703
22;inst_augsburg;48.333474;10.897237
23;inst_muenchen_bundeswehr;48.082034;11.632596
24;inst_muenchen_hfp;48.145694;11.579654
25;inst_muenchen_lmu;48.150173;11.594194
26;inst_passau;48.567217;13.451763
27;inst_ingolstadt;48.888941;11.190086
28;inst_regensburg;48.999689;12.093211
29;inst_nuernberg;49.598109;11.004562
30;inst_wuerzburg;49.783216;9.970857
31;inst_bamberg;49.893965;10.886053
34;inst_kiel;54.346236;10.114756
35;inst_flensburg;54.77682;9.458793
36;inst_hamburg_uni;53.566736;9.984641
37;inst_hamburg_bundeswehr;53.568644;10.107384
38;inst_hamburg_giga;53.557105;9.992655
39;inst_hamburg_klimacampus;53.573206;9.977557
40;inst_darmstadt;49.878386;8.656223
41;inst_speyer_uni;49.317469;8.416272
42;inst_kaiserslautern;49.423972;7.75511
43;inst_koblenz;50.364566;7.560093
44;inst_ludwigshafen;49.468665;8.484049
45;inst_mainz;49.992819;8.241523
46;inst_trier;49.745913;6.688481
47;inst_speyer_foev;49.317511;8.416272
48;inst_frankfurt_uni;50.124921;8.667763
49;inst_frankfurt_hsfk;50.105215;8.664318
50;inst_frankfurt_ifs;50.118605;8.653739
51;inst_giessen;50.580634;8.677099
52;inst_kassel;51.322941;9.507583
53;inst_marburg;50.810916;8.774164
54;inst_bielefeld;52.035576;8.496399
55;inst_bochum;51.445853;7.26163
56;inst_bonn_uni;50.726942;7.086512
57;inst_dortmund;51.485409;7.415841
58;inst_duisburg;51.464165;7.005535
59;inst_duesseldorf;51.192181;6.793688
60;inst_hagen;51.377838;7.49462
61;inst_koeln_uni;50.93421;6.923753
62;inst_koeln_mpifg;50.926932;6.954471
63;inst_rostock;54.075677;12.103504
64;inst_greifswald;54.095095;13.374382
65;inst_erfurt_uni;50.991541;11.009159
66;inst_muenster;51.963729;7.613172
67;inst_erfurt_brandt;50.988552;11.014735
68;inst_erfurt_weber;50.981653;11.027579
69;inst_jena;50.930213;11.589624
70;inst_paderborn;51.706934;8.771136
71;inst_siegen;50.910864;8.026859
72;inst_witten;51.452354;7.356372
73;inst_goettingen;51.541032;9.937368
74;inst_dresden;51.029482;13.728996
75;inst_wuppertal;51.245188;7.149511
76;inst_fh_hspv;50.949525;6.960415
77;inst_bonn_zef;50.714889;7.118806
78;inst_leipzig;51.338775;12.378483
79;inst_berlin_fu;52.449469;13.276975
80;inst_potsdam;52.401129;13.012017
81;inst_chemnitz;50.815487;12.926871
82;inst_magdeburg;52.139349;11.640977
83;inst_halle;51.486312;11.969543
84;inst_berlin_hertie;52.513068;13.389201
88;inst_hannover;52.383128;9.71971
87;inst_osnabrueck;52.271279;8.044802
89;inst_lueneburg;53.229024;10.401231
90;inst_braunschweig;52.281819;10.545993
91;inst_hildesheim;52.134269;9.975232
92;inst_viadrina;52.342501;14.554171
93;inst_bremen_uni;53.107668;8.855417
94;inst_berlin_hu;52.518082;13.393612
95;inst_bremen_jacobs;53.167855;8.654308
96;inst_bremen_bigsss;53.109417;8.855839
97;inst_berlin_wzb;52.506526;13.365172
98;inst_berlin_tu;52.512692;13.326966
99;inst_berlin_swp;52.498205;13.321423
100;inst_bonn_die;50.715655;7.125578
101;inst_friedrichshafen;47.658892;9.433956
102;inst_aachen;50.78;6.06556
